timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653695772976,40,资金转账,200,OK,资金系统 2-930,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,40,0,0
1653695773016,12,获取交易信息,200,OK,资金系统 2-930,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695773028,12,获取账户余额,200,OK,资金系统 2-930,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,12,0,0
1653695773054,31,个人开户,200,OK,开户相关 1-934,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,31,0,1
1653695773085,19,资金账户开户,200,OK,开户相关 1-934,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,19,0,0
1653695773104,18,法人证券账户开户,200,OK,开户相关 1-934,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,18,0,0
1653695773113,40,资金转账,200,OK,资金系统 2-931,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,40,0,0
1653695773153,12,获取交易信息,200,OK,资金系统 2-931,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,12,0,0
1653695773165,11,获取账户余额,200,OK,资金系统 2-931,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,11,0,0
1653695773189,32,个人开户,200,OK,开户相关 1-935,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,32,0,0
1653695773221,21,资金账户开户,200,OK,开户相关 1-935,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,21,0,0
1653695773243,20,法人证券账户开户,200,OK,开户相关 1-935,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,20,0,0
1653695773249,40,资金转账,200,OK,资金系统 2-932,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,40,0,0
1653695773289,11,获取交易信息,200,OK,资金系统 2-932,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,11,0,0
1653695773300,12,获取账户余额,200,OK,资金系统 2-932,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,12,0,0
1653695773325,28,个人开户,200,OK,开户相关 1-936,,true,,418,458,1,1,http://47.99.194.140:3001/security/personalOpen,28,0,0
1653695773353,21,资金账户开户,200,OK,开户相关 1-936,,true,,418,389,1,1,http://47.99.194.140:3001/capital/OpenAccount,21,0,0
1653695773374,20,法人证券账户开户,200,OK,开户相关 1-936,,true,,418,617,1,2,http://47.99.194.140:3001/security/corporateOpen,20,0,0
1653695773381,36,资金转账,200,OK,资金系统 2-933,,true,,372,346,1,1,http://47.99.194.140:3001/capital/moneyin,36,0,1
1653695773417,9,获取交易信息,200,OK,资金系统 2-933,,true,,774,226,1,1,http://47.99.194.140:3001/capital/getInfo?capitalaccountid=000000000000000003,9,0,0
1653695773426,9,获取账户余额,200,OK,资金系统 2-933,,true,,383,229,1,1,http://47.99.194.140:3001/capital/getBalance?capitalaccountid=000000000000000003,9,0,0
